A1,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",Alcoholic,Cocktail glass,"Gin,Grand Marnier,Lemon Juice,Grenadine",https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg
ABC,Layered in a shot glass.,Alcoholic,Shot glass,"Amaretto,Baileys irish cream,Cognac",https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg
Ace,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,Alcoholic,Martini Glass,"Gin,Grenadine,Heavy cream,Milk,Egg White",https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg
ACID,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,Alcoholic,Shot glass,"151 proof rum,Wild Turkey",https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg
Adam,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Alcoholic,Cocktail glass,"Dark rum,Lemon juice,Grenadine",https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg
AT&T,"Pour Vodka and Gin over ice, add Tonic and Stir",Alcoholic,Highball Glass,"Absolut Vodka,Gin,Tonic water",https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg
A. J.,"Shake ingredients with ice, strain into a cocktail glass, and serve.",Alcoholic,Cocktail glass,"Applejack,Grapefruit juice",https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg
Affair,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",Alcoholic,Highball glass,"Strawberry schnapps,Orange juice,Cranberry juice,Club soda",https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg
Apello,Stirr. Grnish with maraschino cherry.,Non alcoholic,Collins Glass,"Orange juice,Grapefruit juice,Apple juice,Maraschino cherry",https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg
Avalon,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",Alcoholic,Highball glass,"Vodka,Pisang Ambon,Apple juice,Lemon juice,Lemonade",https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg
Abilene,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,Alcoholic,Highball glass,"Dark rum,Peach nectar,Orange juice",https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg
Addison,Shake together all the ingredients and strain into a cold glass.,Alcoholic,Martini Glass,"Gin,Vermouth",https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg
Almeria,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Alcoholic,Cocktail glass,"Dark rum,Kahlua,Egg white",https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg
Acapulco,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,Alcoholic,Old-fashioned glass,"Light rum,Triple sec,Lime juice,Sugar,Egg white,Mint",https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg
Affinity,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Alcoholic,Cocktail glass,"Scotch,Sweet Vermouth,Dry Vermouth,Orange bitters",https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg
